     JOBID  PARTITION                                                                         NAME     USER   STATE           TIME
    253190   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=726_seed2=750_random  aronton PENDING           0:00
    253191   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=751_seed2=775_random  aronton PENDING           0:00
    253192   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=776_seed2=800_random  aronton PENDING           0:00
    253193   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=801_seed2=825_random  aronton PENDING           0:00
    253194   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=826_seed2=850_random  aronton PENDING           0:00
    253195   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=851_seed2=875_random  aronton PENDING           0:00
    253196   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=876_seed2=900_random  aronton PENDING           0:00
    253197   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=901_seed2=925_random  aronton PENDING           0:00
    253198   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=926_seed2=950_random  aronton PENDING           0:00
    253199   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=951_seed2=975_random  aronton PENDING           0:00
    253200   scopion4 spin15_L512_Jdis040_Dim028_P10_B40_BC=PBC_Ncore=1_seed1=976_seed2=1000_rando  aronton PENDING           0:00
    253201   scopion4    spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=1_seed2=25_random  aronton PENDING           0:00
    253202   scopion4   spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=26_seed2=50_random  aronton PENDING           0:00
    253203   scopion4   spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=51_seed2=75_random  aronton PENDING           0:00
    253204   scopion4  spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=76_seed2=100_random  aronton PENDING           0:00
    253205   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=101_seed2=125_random  aronton PENDING           0:00
    253206   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=126_seed2=150_random  aronton PENDING           0:00
    253207   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=151_seed2=175_random  aronton PENDING           0:00
    253208   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=176_seed2=200_random  aronton PENDING           0:00
    253209   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=201_seed2=225_random  aronton PENDING           0:00
    253210   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=226_seed2=250_random  aronton PENDING           0:00
    253211   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=251_seed2=275_random  aronton PENDING           0:00
    253212   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=276_seed2=300_random  aronton PENDING           0:00
    253213   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=301_seed2=325_random  aronton PENDING           0:00
    253214   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=326_seed2=350_random  aronton PENDING           0:00
    253215   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=351_seed2=375_random  aronton PENDING           0:00
    253216   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=376_seed2=400_random  aronton PENDING           0:00
    253217   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=401_seed2=425_random  aronton PENDING           0:00
    253218   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=426_seed2=450_random  aronton PENDING           0:00
    253219   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=451_seed2=475_random  aronton PENDING           0:00
    253220   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=476_seed2=500_random  aronton PENDING           0:00
    253221   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=501_seed2=525_random  aronton PENDING           0:00
    253222   scopion4 spin15_L512_Jdis040_Dim029_P10_B40_BC=PBC_Ncore=1_seed1=526_seed2=550_random  aronton PENDING           0:00
